language	phonology	corpus_file	family	structure	kind	population	constrained	n_pairs	n_true	n_false	n_refused	rate_judged
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-(full-aksara)	cell	word-within-line	no	9638	5	120	9513	0.040000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-50	cell	endword-cross	no	38556	23	551	37982	0.040070
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	dvitiyakshara-prasa-50	cell	word-within-line	no	9638	7	118	9513	0.056000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	eye-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	eye-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	feminine-rhyme	cell	endword-cross	yes	38556	18	35553	2985	0.000506
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	feminine-rhyme	cell	word-within-line	no	9638	0	6369	3269	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	historical-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	historical-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	holorhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	holorhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	initial-alliteration	cell	endword-cross	no	38556	1535	34036	2985	0.043153
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	initial-alliteration	cell	word-within-line	no	9638	464	5905	3269	0.072853
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	internal-alliteration	cell	endword-cross	no	38556	1535	34036	2985	0.043153
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	internal-alliteration	cell	word-within-line	no	9638	464	5905	3269	0.072853
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	internal-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	internal-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	kalevala-alliteration	preset	endword-cross	no	38556	1775	33796	2985	0.049900
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	kalevala-alliteration	preset	word-within-line	no	9638	919	8232	487	0.100426
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	leonine-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	leonine-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	masculine-rhyme	cell	endword-cross	yes	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	masculine-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	mosaic-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	mosaic-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	multisyllabic-rhyme	cell	endword-cross	no	38556	0	35571	2985	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	multisyllabic-rhyme	cell	word-within-line	no	9638	0	6369	3269	0.000000
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	pararhyme	cell	endword-cross	no	38556	74	35497	2985	0.002080
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	pararhyme	cell	word-within-line	no	9638	30	6339	3269	0.004710
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	perfect-rhyme	preset	endword-cross	yes	38556	1005	34566	2985	0.028253
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	perfect-rhyme	preset	word-within-line	no	9638	146	6223	3269	0.022924
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	perfect-rhyme-(last-stressed-syllable)	cell	endword-cross	yes	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	perfect-rhyme-(last-stressed-syllable)	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	phrasal-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	phrasal-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	repetition	cell	endword-cross	no	38556	280	35291	2985	0.007872
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	repetition	cell	word-within-line	no	9638	91	6278	3269	0.014288
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	rime-riche	cell	endword-cross	no	38556	19	35552	2985	0.000534
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	rime-riche	cell	word-within-line	no	9638	2	6367	3269	0.000314
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	rime-riche-(last-stressed-syllable)	cell	endword-cross	yes	38556	19	35552	2985	0.000534
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	rime-riche-(last-stressed-syllable)	cell	word-within-line	no	9638	2	6367	3269	0.000314
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	semirhyme	cell	endword-cross	no	38556	26	35545	2985	0.000731
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	semirhyme	cell	word-within-line	no	9638	4	6365	3269	0.000628
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	skothending	cell	endword-cross	no	38556	909	3316	34331	0.215148
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	skothending	cell	word-within-line	no	9638	183	826	8629	0.181368
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	studlar	preset	endword-cross	no	38556	1660	31478	5418	0.050094
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	studlar	preset	word-within-line	no	9638	321	3986	5331	0.074530
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	subtractive-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	subtractive-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rhyme	preset	endword-cross	no	38556	138	411	38007	0.251366
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rhyme	preset	word-within-line	no	9638	115	618	8905	0.156889
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rhyme-(final-unstressed-syllable)	cell	endword-cross	no	38556	64	485	38007	0.116576
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rhyme-(final-unstressed-syllable)	cell	word-within-line	no	9638	37	696	8905	0.050477
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rhyme-22	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rhyme-22	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rime-riche	cell	endword-cross	no	38556	59	490	38007	0.107468
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	syllabic-rime-riche	cell	word-within-line	no	9638	10	723	8905	0.013643
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	wrenched-rhyme	cell	endword-cross	no	38556	725	34846	2985	0.020382
eng	eng	eng_american_abram_joseph_ryan.txt	eng_song	wrenched-rhyme	cell	word-within-line	no	9638	55	6314	3269	0.008636
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(strong)	cell	endword-cross	no	153	2	151	0	0.013072
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(strong)	cell	word-within-line	no	273	2	226	45	0.008772
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(strong)-47	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(strong)-47	cell	word-within-line	no	273	2	266	5	0.007463
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(strong,-closed-syllable)	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(strong,-closed-syllable)	cell	word-within-line	no	273	0	268	5	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(weak)	cell	endword-cross	no	153	4	149	0	0.026144
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(weak)	cell	word-within-line	no	273	16	252	5	0.059701
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(weak,-framed)	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	Kalevala-alliteration-(weak,-framed)	cell	word-within-line	no	273	2	266	5	0.007463
eng	eng	eng_american_alice_cary.txt	eng_song	adalhending	cell	endword-cross	no	153	0	17	136	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	adalhending	cell	word-within-line	no	273	1	38	234	0.025641
eng	eng	eng_american_alice_cary.txt	eng_song	adalhending-(identical-onsets)	cell	endword-cross	no	153	0	17	136	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	adalhending-(identical-onsets)	cell	word-within-line	no	273	0	39	234	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	adalhending-adjacent	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	adalhending-adjacent	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	additive-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	additive-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	alliteration	cell	endword-cross	no	153	9	144	0	0.058824
eng	eng	eng_american_alice_cary.txt	eng_song	alliteration	cell	word-within-line	no	273	9	219	45	0.039474
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rhyme	preset	endword-cross	no	153	0	0	153	
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rhyme	preset	word-within-line	no	273	0	0	273	
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rhyme-(penultimate-stressed-syllable)	cell	endword-cross	no	153	0	0	153	
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rhyme-(penultimate-stressed-syllable)	cell	word-within-line	no	273	0	0	273	
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rhyme-33	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rhyme-33	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rime-riche	cell	endword-cross	no	153	0	0	153	
eng	eng	eng_american_alice_cary.txt	eng_song	apocopated-rime-riche	cell	word-within-line	no	273	0	0	273	
eng	eng	eng_american_alice_cary.txt	eng_song	assonance	cell	endword-cross	no	153	33	120	0	0.215686
eng	eng	eng_american_alice_cary.txt	eng_song	assonance	cell	word-within-line	no	273	19	209	45	0.083333
eng	eng	eng_american_alice_cary.txt	eng_song	broken-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	broken-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	consonance	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	consonance	cell	word-within-line	no	273	42	186	45	0.184211
eng	eng	eng_american_alice_cary.txt	eng_song	cross-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	cross-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-(consonant-answer)	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-(consonant-answer)	cell	word-within-line	no	273	42	186	45	0.184211
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-lusg	preset	endword-cross	no	153	25	128	0	0.163399
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-lusg	preset	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-lusg-(identical-onsets)	cell	endword-cross	no	153	4	149	0	0.026144
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-lusg-(identical-onsets)	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-lusg-56	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	cynghanedd-lusg-56	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	dactylic-rhyme	cell	endword-cross	yes	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	dactylic-rhyme	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	drottkvaett-adalhending	preset	endword-cross	no	153	0	17	136	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	drottkvaett-adalhending	preset	word-within-line	no	273	1	38	234	0.025641
eng	eng	eng_american_alice_cary.txt	eng_song	drottkvaett-hending	preset	endword-cross	no	153	7	10	136	0.411765
eng	eng	eng_american_alice_cary.txt	eng_song	drottkvaett-hending	preset	word-within-line	no	273	10	29	234	0.256410
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa	preset	endword-cross	no	153	1	2	150	0.333333
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa	preset	word-within-line	no	273	2	1	270	0.666667
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa-(consonant-only)	cell	endword-cross	no	153	0	3	150	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa-(consonant-only)	cell	word-within-line	no	273	0	3	270	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa-(full-aksara)	cell	endword-cross	no	153	0	3	150	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa-(full-aksara)	cell	word-within-line	no	273	0	3	270	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa-50	cell	endword-cross	no	153	0	3	150	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	dvitiyakshara-prasa-50	cell	word-within-line	no	273	2	1	270	0.666667
eng	eng	eng_american_alice_cary.txt	eng_song	eye-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	eye-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	feminine-rhyme	cell	endword-cross	yes	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	feminine-rhyme	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	historical-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	historical-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	holorhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	holorhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	initial-alliteration	cell	endword-cross	no	153	9	144	0	0.058824
eng	eng	eng_american_alice_cary.txt	eng_song	initial-alliteration	cell	word-within-line	no	273	9	219	45	0.039474
eng	eng	eng_american_alice_cary.txt	eng_song	internal-alliteration	cell	endword-cross	no	153	9	144	0	0.058824
eng	eng	eng_american_alice_cary.txt	eng_song	internal-alliteration	cell	word-within-line	no	273	9	219	45	0.039474
eng	eng	eng_american_alice_cary.txt	eng_song	internal-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	internal-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	kalevala-alliteration	preset	endword-cross	no	153	8	145	0	0.052288
eng	eng	eng_american_alice_cary.txt	eng_song	kalevala-alliteration	preset	word-within-line	no	273	16	252	5	0.059701
eng	eng	eng_american_alice_cary.txt	eng_song	leonine-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	leonine-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	masculine-rhyme	cell	endword-cross	yes	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	masculine-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	mosaic-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	mosaic-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	multisyllabic-rhyme	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	multisyllabic-rhyme	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	pararhyme	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	pararhyme	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	perfect-rhyme	preset	endword-cross	yes	153	25	128	0	0.163399
eng	eng	eng_american_alice_cary.txt	eng_song	perfect-rhyme	preset	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	perfect-rhyme-(last-stressed-syllable)	cell	endword-cross	yes	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	perfect-rhyme-(last-stressed-syllable)	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	phrasal-rhyme	cell	endword-cross	no	153	21	132	0	0.137255
eng	eng	eng_american_alice_cary.txt	eng_song	phrasal-rhyme	cell	word-within-line	no	273	7	221	45	0.030702
eng	eng	eng_american_alice_cary.txt	eng_song	repetition	cell	endword-cross	no	153	4	149	0	0.026144
eng	eng	eng_american_alice_cary.txt	eng_song	repetition	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	rime-riche	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	rime-riche	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	rime-riche-(last-stressed-syllable)	cell	endword-cross	yes	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	rime-riche-(last-stressed-syllable)	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	semirhyme	cell	endword-cross	no	153	0	153	0	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	semirhyme	cell	word-within-line	no	273	0	228	45	0.000000
eng	eng	eng_american_alice_cary.txt	eng_song	skothending	cell	endword-cross	no	153	7	10	136	0.411765
eng	eng	eng_american_alice_cary.txt	eng_song	skothending	cell	word-within-line	no	273	10	29	234	0.256410
