file	author	title	n_lines	n_tokens	mattr	fwr	anaphora	cv	predictability
eng_hbv_francis_davison.txt	Francis Davison (fl. 1602)	DISPRAISE OF LOVE, AND LOVERS' FOLLIES	24	146	0.8511340206185567	0.3972602739726027	0.08333333333333333	0.18931883508335967	0.3333333333333333
eng_hbv_francis_davison.txt	Francis Davison (fl. 1602)	"Are Women Fair?"	20	174	0.68768	0.3275862068965517	0.45	0.09685229624340644	0.8
eng_hbv_frank_l_stanton.txt	Frank L. Stanton (1857-1927)	WEARYIN' FER YOU	42	228	0.7920670391061453	0.34649122807017546	0.21428571428571427	0.19037460160920266	0.9523809523809523
eng_hbv_frederick_william_thomas.txt	Frederick William Thomas (1811-1864)	SONG	32	190	0.8039716312056737	0.41578947368421054	0.21875	0.15380555834103019	0.875
eng_hbv_george_birdseye.txt	George Birdseye (1844-1919)	Paradise: A Hindoo Legend	20	151	0.813529411764706	0.3576158940397351	0.1	0.1895243446523733	0.7777777777777778
eng_hbv_george_etherege.txt	George Etherege (1635?-1691)	A SONG	16	87	0.8321052631578947	0.3448275862068966	0.1875	0.21534475856546198	0.875
eng_hbv_george_sigerson.txt	George Sigerson (1839-1925)	"MY OWN CAILIN DONN"	20	217	0.7579761904761905	0.4147465437788018	0.15	0.11721915664834189	0.75
eng_hbv_george_william_curtis.txt	George William Curtis (1824-1892)	EGYPTIAN SERENADE	8	46	0.5652173913043478	0.5217391304347826	0.375	0.17927978240800763	1.0
eng_hbv_hamilton_aide.txt	Hamilton Aide (1826-1906)	"WHEN WE ARE PARTED"	18	112	0.7787301587301587	0.42857142857142855	0.2222222222222222	0.19728758238591107	0.5555555555555556
eng_hbv_helen_barron_bostwick.txt	Helen Barron Bostwick (1826-?)	Little Dandelion	40	140	0.8160439560439561	0.2571428571428571	0.025	0.23035022137995856	0.8823529411764706
eng_hbv_henry_duff_traill.txt	Henry Duff Traill (1842-1900)	After Dilettante Concetti	65	399	0.7934857142857143	0.3508771929824561	0.1076923076923077	0.47805991047885166	0.7777777777777778
eng_hbv_henry_sambrooke_leigh.txt	Henry Sambrooke Leigh (1837-1883)	Only Seven	35	198	0.8794630872483221	0.398989898989899	0.08571428571428572	0.28327886186626583	0.8125
eng_hbv_henry_sambrooke_leigh.txt	Henry Sambrooke Leigh (1837-1883)	'Twas Ever Thus	16	110	0.7921311475409836	0.44545454545454544	0.25	0.12464826546183716	0.875
eng_hbv_herbert_trench.txt	Herbert Trench (1865-1923)	"I HEARD A SOLDIER"	16	103	0.8585185185185185	0.44660194174757284	0.125	0.16447644996211083	1.0
eng_hbv_isaac_bickerstaff.txt	Isaac Bickerstaff (?--1812?)	"There was a Jolly Miller"	16	193	0.8027777777777777	0.44559585492227977	0.1875	0.09019116676440006	0.75
eng_hbv_james_kenneth_stephen.txt	James Kenneth Stephen (1859-1892)	A Grievance	56	450	0.8212967581047381	0.4533333333333333	0.17857142857142858	0.15669579263200217	0.56
eng_hbv_james_kenneth_stephen.txt	James Kenneth Stephen (1859-1892)	Sincere Flattery	6	79	0.7626666666666666	0.43037974683544306	0.6666666666666666	0.22106644552624027	1.0
eng_hbv_james_kenneth_stephen.txt	James Kenneth Stephen (1859-1892)	Wordsworth	14	108	0.8149152542372881	0.2777777777777778	0.21428571428571427	0.1582222915799543	0.42857142857142855
eng_hbv_jane_welsh_carlyle.txt	Jane Welsh Carlyle (1801-1866)	To a Swallow Building Under our Eaves	42	294	0.8708571428571429	0.29931972789115646	0.07142857142857142	0.34661865558575333	0.7
eng_hbv_john_addington_symonds.txt	John Addington Symonds (1840-1893)	LOVE IN DREAMS	16	70	0.8352380952380952	0.35714285714285715	0.1875	0.3142696805273545	0.8333333333333334
eng_hbv_john_addington_symonds.txt	John Addington Symonds (1840-1893)	FAREWELL	12	77	0.7757142857142857	0.36363636363636365	0.16666666666666666	0.1183173192096662	0.5
eng_hbv_john_addington_symonds.txt	John Addington Symonds (1840-1893)	ON A PICTURE BY POUSSIN REPRESENTING SHEPHERDS IN ARCADIA	24	165	0.85	0.3878787878787879	0.16666666666666666	0.1134568582125534	1.0
